Workshop,Workshop Date,Workstream,Economy,Organization,Source Table,Workshop Key
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Canada,Global affairs Canada,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Indonesia,National Standardization Agency,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Indonesia,National Standardization Agency of Indonesia,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Other,World Trade Organization,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Papua New Guinea,NATIONAL TRADE OFFICE,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Thailand,Office of the Council of State,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Mexico,Digital Transformation and Telecommunications Agency ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Chinese Taipei,Telecom technology Center,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,New Zealand,Ministry Primary Industries,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Other,Incits,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Malaysia,DSM Malaysia,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Singapore,PECC,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,The Philippines,"DEPDev: Department of Economy, Planning, and Development",OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,Malaysia,DEPARTMENT OF STANDARDS MALAYSIA,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Other,HL7 New Zealand,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Thailand,Ministry of Commerce,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Australia,DFAT,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Chile,Mofa,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Republic of Korea,"Ministry of Industry, Trade and Energy",OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Thailand,Department of Trade Negotiations,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Other,ANU,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,Peru,Agrarian Health Official Services as National Authority Control of  organic products,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,Pecc,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Republic of Korea,Korean Standards Association,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Other,Stendard,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,United States of America,Walmart,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Canada,Standards Council of Canada,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Thailand,Ministry of Commerce,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,United States of America,WilmerHale,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Republic of Korea,"Ministry of Trade, Industry and Energy",OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,The Philippines,Philippines Anti-Red Tape Authority,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,People's Republic of China,Guangxi Institute of Standards and Technology,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Republic of Korea,Korea testing laboratory,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,People's Republic of China,CHINA CERTIFICATION & ACCREDITATION INSTITUTE,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Indonesia,Ministry of Trade,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,World Customs Organization,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,NEXTRADE GROUP,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Japan,"Ministry of Economy, Trade and Industry",OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Indonesia,National Standardization Agency,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,United States of America,ASTM International ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Republic of Korea,TBT R&I CENTER,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,The Philippines,Technical Education and Skills Development Authority (TESDA),OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Indonesia,Ministry of Trade,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Japan,Ministry of Finance,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Viet Nam,STAMEQ,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Australia,Standards Australia,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Other,World Trade Organization,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Canada,Gac,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Chile,Undersecretary Of International and Economic Affair,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Republic of Korea,Kats,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,People's Republic of China,Samr,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Viet Nam,General Department of Viet Nam Customs,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Peru,Ministry of Foreign Trade and Tourism,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Thailand,Thai Industrial Standards Institute,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Indonesia,Ministry of Trade,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Other,OECD,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,United States of America,ASTM International ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Chinese Taipei,International Trade Adminstration,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Malaysia,Dept. of Standards Malaysia,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Australia,DFAT,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,The Philippines,Bureau of Philippine Standards,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Malaysia,MyDIGITAL Corporation (Ministry of Digital Malaysia),OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Papua New Guinea,National Information and Communication Technology Authority (NICTA),OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Thailand,Department of trade nogotiations,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,NBR,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Canada,Standards council of canada,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,United States of America,APEC RISE,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,People's Republic of China,Mofcom,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Thailand,Department of commerce,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Chile,ECLAC,OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Chile,SUBREI Chile,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Japan,METI,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Malaysia,Department of Standards Malaysia,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,People's Republic of China,China certification and accreditation insitute,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Brunei Darussalam,Ministry of finance and economy,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Chinese Taipei,Office of Trade Negotiators ,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,Republic of Korea,Kisdi,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Viet Nam,Moit,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Malaysia,DSM MALAYSIA,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Chile,Subrei,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,United States of America,ACC,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Other,Akin Gump Strauss Hauer & Feld LLP,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,United States of America,Specialized Bicycle ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Malaysia,DEPARTMENT OF STANDARDS MALAYSIA,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Advancing Cloud Transformation,2025-07-31,rec8X4hhBa5cOnk18,United States of America,University of California San diego,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-31
Workshop on Advancing Cloud Transformation,2025-07-30,recO6Wye9q46CaYxb,Chinese Taipei,Moda,OT1 Sign-Ins (Workshops),Workshop on Advancing Cloud Transformation | 2025-07-30
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,Chile,SUBREI,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Other,World Economic Forum,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,"Hong Kong, China",tr,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-28,recO6Wye9q46CaYxb,Canada,SCC (SDOAC) / CSA Group,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Malaysia,Department of Standards Malaysia,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Viet Nam,STAMEQ,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,The Philippines,Bureau of Philippine Standards,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,United States of America,Specialized,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Other,SAE ITC,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-26,recO6Wye9q46CaYxb,Thailand,The Federation of Thai Industries,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-26
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,The Philippines,Department of Trade and Industry,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,2025-08-09,recx8jdfEcebA5nAS,Chile,"Undersecretariat of International Economic Relations,",OT1 Sign-Ins (Workshops),APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools | 2025-08-09
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-01,reckuD4pDTWtZesJN,Thailand,Ministry of Commerce,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-01
APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,2025-08-02,reckuD4pDTWtZesJN,"Hong Kong, China",Trade and industry department,OT1 Sign-Ins (Workshops),APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin | 2025-08-02
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Australia,Standards Australia,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases,2025-08-08,recIze3I0sDtjtxap,Other,Ore bro university,OT1 Sign-Ins (Workshops),Workshop on Applying the APEC Services Index in Regionally Relevant Use Cases | 2025-08-08
Workshop on Digital Standards: Shaping the Future of Standardization,2025-07-27,recO6Wye9q46CaYxb,Papua New Guinea,National Information & Communications Technology Authoruty,OT1 Sign-Ins (Workshops),Workshop on Digital Standards: Shaping the Future of Standardization | 2025-07-27
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-29,recqvqMEpTfZTKevx,Republic of Korea,MSIT,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-29
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Malaysia,Malaysian Communications and Multimedia Commission,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Services Technical Standards Development: The Process and Impact,2025-08-05,recIze3I0sDtjtxap,Indonesia,Ministry of Trade,OT1 Sign-Ins (Workshops),APEC Workshop on Services Technical Standards Development: The Process and Impact | 2025-08-05
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-28,recqvqMEpTfZTKevx,Chile,Subrei,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-28
APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs,2025-07-27,recqvqMEpTfZTKevx,Republic of Korea,TBTR&I CENTER,OT1 Sign-Ins (Workshops),APEC Workshop on Technical Barriers to Trade: Recent Trends in FTAs | 2025-07-27
